fam_id,dataset,num_sequences,split
PF18042,Pfam,213,test
PF17019,Pfam,22,test
PF13094,Pfam,1157,test
PF18735,Pfam,611,test
PF18483,Pfam,882,test
PF10947,Pfam,988,test
PF17117,Pfam,137,test
PF16531,Pfam,1650,test
PF14103,Pfam,842,test
PF17939,Pfam,2036,test
PF14236,Pfam,451,test
PF02123,Pfam,287,test
PF09971,Pfam,72,test
PF09531,Pfam,2561,test
PF11051,Pfam,4954,test
PF09913,Pfam,888,test
PF09903,Pfam,814,test
PF12640,Pfam,1265,test
PF12842,Pfam,3346,test
PF12612,Pfam,2769,test
PF18632,Pfam,42,test
PF14196,Pfam,1136,test
PF04559,Pfam,87,test
PF13259,Pfam,2403,test
PF08429,Pfam,6341,test
PF09294,Pfam,7738,test
PF10376,Pfam,897,test
PF08737,Pfam,3223,test
PF12576,Pfam,1566,test
PF11780,Pfam,438,test
PF10337,Pfam,2213,test
PF11727,Pfam,83,test
PF07964,Pfam,43,test
PF16591,Pfam,273,test
PF12078,Pfam,1068,test
PF14780,Pfam,1442,test
PF14730,Pfam,425,test
PF16025,Pfam,1318,test
PF09991,Pfam,1955,test
PF03589,Pfam,313,test
PF12835,Pfam,418,test
PF14752,Pfam,2338,test
PF12813,Pfam,907,test
PF10471,Pfam,1082,test
PF18627,Pfam,31,test
PF10225,Pfam,2656,test
PF13830,Pfam,2137,test
PF13562,Pfam,967,test
PF01876,Pfam,2855,test
PF01787,Pfam,13,test
PF15558,Pfam,887,test
PF06653,Pfam,332,test
PF01917,Pfam,795,test
PF12409,Pfam,4858,test
PF07793,Pfam,1759,test
PF14284,Pfam,792,test
PF10592,Pfam,1340,test
PF09353,Pfam,2104,test
PF12114,Pfam,2677,test
PF17646,Pfam,13,test
PF08639,Pfam,777,test
PF14102,Pfam,596,test
PF07575,Pfam,3168,test
PF07064,Pfam,2776,test
PF14992,Pfam,468,test
PF15239,Pfam,975,test
PF12548,Pfam,3595,test
PF06333,Pfam,4099,test
PF14629,Pfam,2273,test
PF17294,Pfam,45,test
PF11950,Pfam,1654,test
PF08695,Pfam,2144,test
PF05224,Pfam,3264,test
PF10425,Pfam,52,test
PF06496,Pfam,636,test
PF11561,Pfam,66,test
PF09852,Pfam,1237,test
PF09476,Pfam,853,test
PF01956,Pfam,4545,test
PF12666,Pfam,1294,test
PF16962,Pfam,237,test
PF05637,Pfam,4489,test
PF13708,Pfam,278,test
PF14644,Pfam,852,test
PF11888,Pfam,743,test
PF14072,Pfam,1292,test
PF11175,Pfam,1525,test
PF09511,Pfam,1547,test
PF07539,Pfam,2460,test
PF13926,Pfam,2846,test
PF06037,Pfam,712,test
PF17197,Pfam,828,test
PF04114,Pfam,2444,test
PF15865,Pfam,986,test
PF05238,Pfam,1635,test
PF10741,Pfam,658,test
PF03327,Pfam,83,test
PF04404,Pfam,1120,test
PF14953,Pfam,1051,test
PF02582,Pfam,5475,test
PF18271,Pfam,1302,test
PF16395,Pfam,195,test
PF13729,Pfam,407,test
PF13664,Pfam,3421,test
PF14137,Pfam,432,test
PF06090,Pfam,3048,test
PF14610,Pfam,571,test
PF06664,Pfam,2678,test
PF18705,Pfam,753,test
PF03343,Pfam,2780,test
PF16694,Pfam,1000,test
PF12687,Pfam,1008,test
PF11611,Pfam,1986,test
PF10395,Pfam,472,test
PF14494,Pfam,695,test
PF03731,Pfam,4970,test
PF12469,Pfam,475,test
PF15575,Pfam,675,test
PF11457,Pfam,707,test
PF18303,Pfam,28,test
PF05841,Pfam,547,test
PF12684,Pfam,977,test
PF13308,Pfam,921,test
PF18092,Pfam,744,test
PF16504,Pfam,52,test
PF14264,Pfam,358,test
PF01499,Pfam,83,test
PF11912,Pfam,200,test
PF05648,Pfam,6377,test
PF11957,Pfam,2822,test
PF06527,Pfam,2247,test
PF10441,Pfam,1862,test
PF10165,Pfam,3572,test
PF08691,Pfam,65,test
PF18142,Pfam,998,test
PF12259,Pfam,927,test
PF03288,Pfam,1227,test
PF09480,Pfam,74,test
PF10062,Pfam,148,test
PF16125,Pfam,630,test
PF06456,Pfam,6404,test
PF14301,Pfam,333,test
PF12216,Pfam,23,test
PF12048,Pfam,452,test
PF18329,Pfam,255,test
PF17708,Pfam,1401,test
PF18734,Pfam,239,test
PF13845,Pfam,2221,test
PF15593,Pfam,87,test
PF09484,Pfam,284,test
PF18810,Pfam,229,test
PF16120,Pfam,233,test
PF10269,Pfam,3849,test
PF07968,Pfam,102,test
PF08761,Pfam,1247,test
PF10671,Pfam,330,test
PF10272,Pfam,1116,test
PF08795,Pfam,419,test
PF11977,Pfam,5628,test
PF09865,Pfam,628,test
PF18740,Pfam,108,test
PF10677,Pfam,1932,test
PF13858,Pfam,2028,test
PF17306,Pfam,75,test
PF11984,Pfam,1357,test
PF18119,Pfam,2660,test
PF07814,Pfam,3019,test
PF14479,Pfam,2285,test
PF16793,Pfam,317,test
PF16729,Pfam,312,test
PF13902,Pfam,1790,test
PF08584,Pfam,1951,test
PF15719,Pfam,825,test
PF15001,Pfam,554,test
PF10088,Pfam,474,test
PF04242,Pfam,304,test
PF12366,Pfam,629,test
PF03281,Pfam,5668,test
PF12036,Pfam,3207,test
PF09544,Pfam,219,test
PF04877,Pfam,25,test
PF18135,Pfam,1572,test
PF14173,Pfam,173,test
PF13017,Pfam,870,test
PF11874,Pfam,962,test
PF18406,Pfam,192,test
PF09459,Pfam,921,test
PF17481,Pfam,470,test
PF18736,Pfam,43,test
PF10483,Pfam,1900,test
PF05144,Pfam,208,test
PF16418,Pfam,3079,test
PF09898,Pfam,1395,test
PF03216,Pfam,176,test
PF09848,Pfam,2225,test
PF14280,Pfam,1178,test
PF14222,Pfam,5240,test
PF07422,Pfam,801,test
PF09485,Pfam,1058,test
PF16146,Pfam,71,test
PF12230,Pfam,2618,test
PF13731,Pfam,987,test
PF09402,Pfam,2731,test
PF17517,Pfam,2713,test
PF14940,Pfam,1203,test
PF03835,Pfam,2866,test
PF09812,Pfam,1449,test
PF14488,Pfam,467,test
D3B522,Foldseek,2,val
A0A096B079,Foldseek,2,test
A0A6H1MNY3,Foldseek,49,val
A0A497L358,Foldseek,6,test
A0A0E1N958,Foldseek,37,test
A0A438HTK3,Foldseek,103,test
D2HRC0,Foldseek,23,val
A0A1V6CWE7,Foldseek,8,test
J0MRY2,Foldseek,362,val
A0A4C1Y1M0,Foldseek,2,test
A0A2U3AFE6,Foldseek,2,test
A0A554VWN5,Foldseek,3,val
A0A4U9KT24,Foldseek,2,test
A0A6L2J1R2,Foldseek,12,test
A0A1Z4I9Z9,Foldseek,6,test
A0A2N3RVE0,Foldseek,6,val
A0A352C9E7,Foldseek,81,val
Q3SA91,Foldseek,18,test
A0A6J6NCL6,Foldseek,32,val
A0A7H9CG63,Foldseek,10,test
A0A1J6IZW4,Foldseek,3,test
A0A1V6CWZ5,Foldseek,4,val
A0A4R2WBE6,Foldseek,2,val
A0A837YPU1,Foldseek,10,test
A0A5B7ZHE7,Foldseek,3,val
A0A103XUL8,Foldseek,101,test
A0A7X4J5X9,Foldseek,35,test
A0A7J6S417,Foldseek,6,test
A0A3F2RDK4,Foldseek,2,val
A0A359JIG3,Foldseek,12,test
A0A397SW19,Foldseek,2,test
A0A1L7TD28,Foldseek,22,test
A0A1G1MBB6,Foldseek,4,test
A0A497N7Z7,Foldseek,3,test
A0A537HUV7,Foldseek,5,test
A0A2J7QFU7,Foldseek,31,val
A0A444FCY3,Foldseek,2,test
A0A2R6W1A2,Foldseek,15,test
E0UAR1,Foldseek,4,test
A0A378LAC5,Foldseek,3,val
A0A0N1P1Q7,Foldseek,10,val
A0A376RAZ8,Foldseek,12,val
A0A4W3KEH0,Foldseek,62,test
A0A2V6Q0E2,Foldseek,2,test
A0A821WUT8,Foldseek,6,val
A0A060CSA1,Foldseek,4,val
A0A7X7K9Z8,Foldseek,1276,val
A0A6N8VCG3,Foldseek,2,test
A0A6A5QHW8,Foldseek,2,test
A0A3D8IQ08,Foldseek,2,val
A0A3A6TD28,Foldseek,58,test
A0A0N1HUT6,Foldseek,3,val
F9PI16,Foldseek,5,val
A0A1E7HS30,Foldseek,3,test
A0A0S4M5P0,Foldseek,5,test
A0A6J4LJT4,Foldseek,5,val
A0A834A685,Foldseek,8,test
A0A1F5LCX8,Foldseek,2,val
A0A6G0XHC4,Foldseek,4,test
A0A0M3J0P1,Foldseek,3,val
A0A7W0YNH1,Foldseek,19,val
A0A2U8WZM5,Foldseek,7,test
A0A100YU13,Foldseek,5,test
M8AH83,Foldseek,3,val
A0A2V9M445,Foldseek,16,val
A0A3D8IBC0,Foldseek,7,test
W9V5S7,Foldseek,4,test
A0A168JIV6,Foldseek,2,val
A0A553PC29,Foldseek,25,test
A0A5C3N622,Foldseek,15,test
A0A5J4PZ56,Foldseek,18,val
A0A650A105,Foldseek,2,val
H9J7J4,Foldseek,11,test
A0A242L0V3,Foldseek,2,test
F5XSK8,Foldseek,6,test
A0A7X3FF31,Foldseek,29,val
X1CRW7,Foldseek,6,val
A0A6G7Y0P0,Foldseek,2,val
G4ZTV3,Foldseek,41,val
A0A1I8A3B1,Foldseek,11,test
A0A376SJF0,Foldseek,2,test
A0A1Q6NVN3,Foldseek,74,test
A0A2G8AVQ3,Foldseek,6,test
A0A3P7G0H0,Foldseek,3,test
A0A087A0H6,Foldseek,14,val
A0A7C6XVN9,Foldseek,2,val
A0A0D7B8S1,Foldseek,227,test
A0A418Y4V7,Foldseek,239,val
A0A7C1KMK7,Foldseek,4,val
L0PBC1,Foldseek,4,test
A0A0F0GF45,Foldseek,3,val
A0A0B1T7U1,Foldseek,127,test
A0A2R3Z1U8,Foldseek,3,test
M0ECU4,Foldseek,3,test
W7I0E0,Foldseek,2,test
A0A0G4HRV8,Foldseek,4,test
A0A7G8HHT4,Foldseek,2,val
A0A4U0U943,Foldseek,25,test
A0A1F7U584,Foldseek,28,test
A0A542ZQD9,Foldseek,68,val
A0A847KKK2,Foldseek,2,test
A0A367L8F4,Foldseek,19,test
A0A378TZ64,Foldseek,3,test
A0A0F6RHU8,Foldseek,15,test
A0A446SHE6,Foldseek,17,test
A0A6C0AWX2,Foldseek,3,val
A0A1S3QIB9,Foldseek,5,val
A1ZH07,Foldseek,2,val
A0A3A0HWA5,Foldseek,27,test
A0A176WL48,Foldseek,5,test
A0A7S2WSP4,Foldseek,5,test
A0A0M8PVR3,Foldseek,18,val
A0A6G9VNC1,Foldseek,8,test
Q0J970,Foldseek,8,val
A0A1Y5Q386,Foldseek,64,test
A0A812I9F4,Foldseek,12,test
A0A0F8YRQ6,Foldseek,8,val
A0A812CCD0,Foldseek,4,test
A0A255S6U1,Foldseek,4,val
A0A7C8U9G9,Foldseek,4,test
A0A3D8YIP7,Foldseek,2,test
A0A4E0Q3R3,Foldseek,97,test
A0A7S3VMK1,Foldseek,3,val
A0A378LFS3,Foldseek,7,test
A0A7C4HMP3,Foldseek,11,test
D5PG79,Foldseek,4,val
A0A5C9BIY4,Foldseek,3,val
A0A367B8B9,Foldseek,4,test
A0A4R2RS59,Foldseek,2,test
A0A2U1ZVZ7,Foldseek,2844,val
A0A2G2KTH4,Foldseek,4,val
A0A7X7U5L7,Foldseek,9,test
A0A4R2CG30,Foldseek,3,val
A0A355BCI9,Foldseek,13,val
A0A2C6A2A7,Foldseek,3,test
A0A3M9ZP37,Foldseek,4,test
A0A2A4SA46,Foldseek,2,val
A0A1I5K400,Foldseek,3,test
Q1Q1V8,Foldseek,3,val
A0A2G9URJ2,Foldseek,18,val
A0A1L9SKS6,Foldseek,2,val
A0A7W0XRF5,Foldseek,180,test
A0A5J5S5S0,Foldseek,20,test
A0A7C2US38,Foldseek,155,test
A0A0C9UMP6,Foldseek,2,test
A0A0J7KH77,Foldseek,2,test
A0A0L0D9M2,Foldseek,2,test
A0A3M6Y8U6,Foldseek,2,test
A0A556VXH4,Foldseek,2,test
A0A1V6H7A4,Foldseek,3,test
A0A4Q6Y0Y1,Foldseek,2,test
A0A286IK20,Foldseek,242,test
A0A6G1I4G2,Foldseek,52,val
E9FRQ3,Foldseek,5,test
A0A7T5RSG9,Foldseek,59,val
A0A498P0J3,Foldseek,8,val
A0A7J7F3L9,Foldseek,6,test
A0A059D828,Foldseek,905,test
A0A7Y5MN04,Foldseek,3,val
A0A6J2YQM6,Foldseek,20,test
A0A0L6UNF1,Foldseek,3,test
A0A290ZGS0,Foldseek,10,test
A0A0H5QHC9,Foldseek,28,test
A0A7H4NLQ3,Foldseek,4,val
A0A5N5HTI4,Foldseek,6,val
A0A7K2ISR6,Foldseek,24,test
A0A7X3TNJ4,Foldseek,35,test
A0A819TCV4,Foldseek,3,val
A0A2H9TFU4,Foldseek,6,val
A0A2A4F7I5,Foldseek,66,test
A0A4Z2JHB8,Foldseek,2,val
A0A6I9IUJ0,Foldseek,2,test
V6DGA5,Foldseek,273,test
A0A094QGL7,Foldseek,3,test
A0A1V4VAV2,Foldseek,2,val
C1GNT8,Foldseek,5,val
A0A1H0X4I9,Foldseek,3,val
A0A7J7VWS2,Foldseek,2,val
A0A7T9I113,Foldseek,2,test
A0A167SYC8,Foldseek,8,test
A0A845YZD2,Foldseek,9,test
A0A6A5ZXV8,Foldseek,3,val
A0A1C3F8Z9,Foldseek,2,val
A0A1J1GRZ9,Foldseek,19,test
A0A7W8E1P9,Foldseek,4,test
A0A1L8HSD8,Foldseek,3,test
V4TP44,Foldseek,2,test
A0A6P1AN81,Foldseek,6,test
A0A842YSQ9,Foldseek,9,test
A0A6A6YFT5,Foldseek,6,val
A0A0D0CMM0,Foldseek,6,test
A0A287LMP7,Foldseek,63,val
A0A7X0MX81,Foldseek,2,test
A0A7D5V8N0,Foldseek,2,test
A0A6N4WX96,Foldseek,3,test
A0A2D5PKC5,Foldseek,2,val
A0A6V7PP43,Foldseek,3,val
A0A6L2MDT8,Foldseek,2,test
A0A6S7FRS7,Foldseek,4,val
A0A401ISW1,Foldseek,7,test
2.60.200.30-FF-000001,FunFams,1790,val
3.30.200.20-FF-000016,FunFams,1295,val
3.10.310.10-FF-000018,FunFams,4558,test
2.60.210.10-FF-000006,FunFams,845,val
3.90.190.10-FF-000002,FunFams,332,val
3.40.190.80-FF-000004,FunFams,716,val
3.40.50.360-FF-000036,FunFams,841,test
2.40.37.10-FF-000006,FunFams,4003,test
3.90.190.10-FF-000018,FunFams,343,test
3.40.50.150-FF-000070,FunFams,1238,test
3.10.450.330-FF-000001,FunFams,470,test
3.30.56.10-FF-000001,FunFams,25992,test
3.40.190.10-FF-000011,FunFams,8864,test
2.60.120.180-FF-000002,FunFams,114,test
3.90.1150.220-FF-000001,FunFams,534,test
3.30.2160.10-FF-000001,FunFams,1820,val
3.90.1170.40-FF-000004,FunFams,1053,val
1.20.1440.180-FF-000001,FunFams,1848,test
3.40.50.12550-FF-000001,FunFams,77,test
2.60.120.1190-FF-000002,FunFams,359,test
2.60.200.30-FF-000002,FunFams,1469,test
3.40.50.880-FF-000017,FunFams,423,test
3.90.470.20-FF-000006,FunFams,425,val
2.170.220.10-FF-000002,FunFams,3626,test
3.40.50.880-FF-000011,FunFams,6033,val
3.90.190.10-FF-000030,FunFams,1036,test
3.90.180.10-FF-000025,FunFams,194,val
3.40.50.9100-FF-000001,FunFams,96,test
3.30.56.10-FF-000003,FunFams,736,test
3.30.2160.10-FF-000003,FunFams,572,val
3.30.1700.10-FF-000001,FunFams,876,val
2.40.240.50-FF-000001,FunFams,626,test
3.30.70.520-FF-000001,FunFams,63,val
1.10.40.30-FF-000003,FunFams,1279,test
3.10.310.10-FF-000011,FunFams,505,test
1.20.120.1750-FF-000002,FunFams,1408,test
1.10.150.900-FF-000001,FunFams,207,test
3.30.40.10-FF-000142,FunFams,6097,test
3.40.1050.10-FF-000003,FunFams,1692,val
3.10.290.20-FF-000001,FunFams,1412,val
3.30.1960.10-FF-000010,FunFams,219,val
3.10.180.20-FF-000001,FunFams,753,test
2.60.200.30-FF-000020,FunFams,141,test
3.20.20.360-FF-000001,FunFams,10402,test
3.90.650.10-FF-000003,FunFams,319,test
3.40.630.30-FF-000054,FunFams,1194,test
1.10.1060.10-FF-000029,FunFams,391,test
3.40.50.620-FF-000005,FunFams,79,val
1.20.1050.10-FF-000005,FunFams,2095,val
3.40.30.10-FF-000116,FunFams,1896,test
3.40.50.450-FF-000014,FunFams,704,val
3.30.300.330-FF-000001,FunFams,249,test
2.40.50.140-FF-000275,FunFams,107,test
3.30.63.10-FF-000005,FunFams,1151,val
3.30.1120.130-FF-000001,FunFams,667,test
3.30.200.20-FF-000128,FunFams,684,test
3.30.1490.20-FF-000010,FunFams,16663,test
3.40.50.2000-FF-000012,FunFams,1174,test
3.40.470.10-FF-000006,FunFams,3610,val
3.40.30.10-FF-000045,FunFams,920,val
2.40.50.90-FF-000001,FunFams,1413,test
3.40.47.10-FF-000043,FunFams,197,test
2.40.30.110-FF-000001,FunFams,2404,test
3.30.470.10-FF-000001,FunFams,1140,val
2.60.210.10-FF-000002,FunFams,1563,test
2.60.40.10-FF-000296,FunFams,1374,test
2.70.98.10-FF-000006,FunFams,457,val
3.30.70.380-FF-000001,FunFams,24896,test
1.10.8.50-FF-000008,FunFams,591,val
3.40.50.720-FF-000114,FunFams,1276,val
3.10.310.10-FF-000006,FunFams,421,val
3.30.200.20-FF-000409,FunFams,306,val
3.40.50.300-FF-002079,FunFams,79,test
3.30.470.10-FF-000007,FunFams,360,test
3.40.605.10-FF-000009,FunFams,448,val
3.30.420.10-FF-000048,FunFams,291,val
3.20.200.10-FF-000002,FunFams,521,val
2.30.30.140-FF-000018,FunFams,4199,val
3.40.225.10-FF-000005,FunFams,715,test
3.60.130.10-FF-000002,FunFams,2119,test
2.60.40.200-FF-000002,FunFams,465,val
3.30.70.100-FF-000012,FunFams,544,test
3.90.190.10-FF-000033,FunFams,596,test
2.40.50.90-FF-000003,FunFams,561,test
3.40.50.1820-FF-000139,FunFams,320,val
2.160.10.10-FF-000009,FunFams,2653,val
1.10.340.30-FF-000010,FunFams,912,test
1.10.510.10-FF-000216,FunFams,1377,test
2.30.150.10-FF-000001,FunFams,1469,val
1.20.1280.70-FF-000001,FunFams,2788,test
2.60.40.2300-FF-000001,FunFams,641,test
2.40.50.140-FF-000144,FunFams,597,test
3.30.505.10-FF-000020,FunFams,234,test
3.40.640.10-FF-000107,FunFams,1218,test
3.40.50.620-FF-000138,FunFams,103,val
2.40.50.90-FF-000002,FunFams,1314,val
3.30.40.10-FF-000179,FunFams,713,val
3.20.20.80-FF-000125,FunFams,63,val
3.50.50.60-FF-000055,FunFams,996,test
2.40.37.10-FF-000019,FunFams,515,test
petase,Petase,286,test
